modelo,prediccion,r2,mae_GWh,rmse_GWh
GRUmodel7,1-step,0.3923891261661576,22.51163590389492,26.445464695664995
GRUmodel7,multi-step,0.280604646896038,23.02759051270144,28.77545822722533
GRUmodel15,1-step,0.683005263262914,20.816667075967764,27.076981485061605
GRUmodel15,multi-step,0.1704675248597617,31.802445723843583,43.80169519088052
GRUmodel30,1-step,0.6013022905342507,25.629422081333402,33.455914261241915
GRUmodel30,multi-step,0.11091504714553369,44.613498047445226,49.96002675329134
