año,valor_(GWh),dia_semana_sin,dia_semana_cos,dia_sin,dia_cos,mes_sin,mes_cos,fecha
0.0,0.2676888683854681,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945,0.0,1.0,2011-01-01
0.0,0.3498140870226125,-0.7818314824680299,0.6234898018587334,0.39435585511331855,0.9189578116202306,0.0,1.0,2011-01-02
0.0,0.7148600002219014,0.0,1.0,0.5712682150947923,0.8207634412072763,0.0,1.0,2011-01-03
0.0,0.7880240523032787,0.7818314824680298,0.6234898018587336,0.7247927872291199,0.6889669190756866,0.0,1.0,2011-01-04
0.0,0.7198470772101953,0.9749279121818236,-0.22252093395631434,0.8486442574947509,0.5289640103269624,0.0,1.0,2011-01-05
0.0,0.3894446432801255,0.43388373911755823,-0.900968867902419,0.9377521321470804,0.3473052528448203,0.0,1.0,2011-01-06
0.0,0.5867645729480826,-0.433883739117558,-0.9009688679024191,0.9884683243281114,0.1514277775045767,0.0,1.0,2011-01-07
0.0,0.5154418495290334,-0.9749279121818236,-0.2225209339563146,0.9987165071710528,-0.05064916883871264,0.0,1.0,2011-01-08
0.0,0.42928247087249316,-0.7818314824680299,0.6234898018587334,0.9680771188662043,-0.25065253225872064,0.0,1.0,2011-01-09
0.0,0.7693423913142776,0.0,1.0,0.8978045395707416,-0.4403941515576344,0.0,1.0,2011-01-10
0.0,0.8021156480269254,0.7818314824680298,0.6234898018587336,0.7907757369376985,-0.6121059825476629,0.0,1.0,2011-01-11
0.0,0.7845797283945548,0.9749279121818236,-0.22252093395631434,0.6513724827222223,-0.7587581226927909,0.0,1.0,2011-01-12
0.0,0.7844145226317241,0.43388373911755823,-0.900968867902419,0.48530196253108104,-0.8743466161445821,0.0,1.0,2011-01-13
0.0,0.7768109547001021,-0.433883739117558,-0.9009688679024191,0.29936312297335804,-0.9541392564000488,0.0,1.0,2011-01-14
0.0,0.5751502920946043,-0.9749279121818236,-0.2225209339563146,0.10116832198743228,-0.9948693233918952,0.0,1.0,2011-01-15
0.0,0.4612533977170499,-0.7818314824680299,0.6234898018587334,-0.10116832198743204,-0.9948693233918952,0.0,1.0,2011-01-16
0.0,0.7883213159841813,0.0,1.0,-0.2993631229733574,-0.954139256400049,0.0,1.0,2011-01-17
0.0,0.8355580273445127,0.7818314824680298,0.6234898018587336,-0.4853019625310812,-0.874346616144582,0.0,1.0,2011-01-18
0.0,0.8326488769691984,0.9749279121818236,-0.22252093395631434,-0.651372482722222,-0.7587581226927911,0.0,1.0,2011-01-19
0.0,0.822092561393309,0.43388373911755823,-0.900968867902419,-0.7907757369376986,-0.6121059825476627,0.0,1.0,2011-01-20
0.0,0.8710933548947417,-0.433883739117558,-0.9009688679024191,-0.8978045395707414,-0.440394151557635,0.0,1.0,2011-01-21
0.0,0.7376595425481114,-0.9749279121818236,-0.2225209339563146,-0.9680771188662043,-0.2506525322587205,0.0,1.0,2011-01-22
0.0,0.6262726277942254,-0.7818314824680299,0.6234898018587334,-0.9987165071710528,-0.05064916883871266,0.0,1.0,2011-01-23
0.0,0.9620658061051457,0.0,1.0,-0.9884683243281114,0.15142777750457667,0.0,1.0,2011-01-24
0.0,1.0,0.7818314824680298,0.6234898018587336,-0.9377521321470808,0.34730525284481945,0.0,1.0,2011-01-25
0.0,0.9932486828928946,0.9749279121818236,-0.22252093395631434,-0.848644257494751,0.5289640103269624,0.0,1.0,2011-01-26
0.0,0.960676412749673,0.43388373911755823,-0.900968867902419,-0.72479278722912,0.6889669190756865,0.0,1.0,2011-01-27
0.0,0.9270455362598935,-0.433883739117558,-0.9009688679024191,-0.5712682150947924,0.8207634412072763,0.0,1.0,2011-01-28
0.0,0.6882635414749803,-0.9749279121818236,-0.2225209339563146,-0.3943558551133187,0.9189578116202306,0.0,1.0,2011-01-29
0.0,0.555382880067274,-0.7818314824680299,0.6234898018587334,-0.20129852008866028,0.9795299412524945,0.0,1.0,2011-01-30
0.0,0.9044588059360548,0.0,1.0,-2.4492935982947064e-16,1.0,0.0,1.0,2011-01-31
0.0,0.9325329813156462,0.7818314824680298,0.6234898018587336,0.2225209339563144,0.9749279121818236,0.49999999999999994,0.8660254037844387,2011-02-01
0.0,0.915632775436805,0.9749279121818236,-0.22252093395631434,0.4338837391175581,0.9009688679024191,0.49999999999999994,0.8660254037844387,2011-02-02
0.0,0.8951622092004121,0.43388373911755823,-0.900968867902419,0.6234898018587335,0.7818314824680298,0.49999999999999994,0.8660254037844387,2011-02-03
0.0,0.8565885650357532,-0.433883739117558,-0.9009688679024191,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,2011-02-04
0.0,0.630072722085397,-0.9749279121818236,-0.2225209339563146,0.9009688679024191,0.4338837391175582,0.49999999999999994,0.8660254037844387,2011-02-05
0.0,0.4715489241468376,-0.7818314824680299,0.6234898018587334,0.9749279121818236,0.22252093395631445,0.49999999999999994,0.8660254037844387,2011-02-06
0.0,0.7886800421524827,0.0,1.0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,2011-02-07
0.0,0.8442446812991786,0.7818314824680298,0.6234898018587336,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2011-02-08
0.0,0.8375754530735475,0.9749279121818236,-0.22252093395631434,0.9009688679024191,-0.43388373911755806,0.49999999999999994,0.8660254037844387,2011-02-09
0.0,0.8211664891874855,0.43388373911755823,-0.900968867902419,0.7818314824680299,-0.6234898018587335,0.49999999999999994,0.8660254037844387,2011-02-10
